Property,Unit,Complete
1001,1A,
1001,1B,
1001,1D,
1001,1F,
1001,1G,
1001,1H,
1001,2A,
1001,2B,
1001,2C,
1001,2D,
1001,2E,
1001,2F,
1001,2G,
1001,2H,
1001,3A,
1001,3B,
1001,3C,
1001,3D,
1001,3E,
1001,3F,
1001,3G,
1001,3H,
1001,4A,
1001,4B,
1001,4C,
1001,4D,
1001,4E,
1001,4F,
1001,4H,
1001,5AB,
1001,5C,
1001,5D,
1001,5E,
1001,5F,
1001,5G,
1001,5H,
1001,6AB,
1001,6C,
1001,6D,
1001,6E,
1001,6G,
1001,6H,
1002,2A,
1002,2C,
1002,3A,
1002,3C,
1002,3D,
1002,4A,
1002,4B,
1002,4C,
1002,4D,
1002,5A,
1002,5B,
1002,5C,
1002,5D,
1003,2,
1003,21,
1003,26,
1004,10E,
1004,1B,
1004,1C,
1004,2A,
1004,4A,
1004,4D,
1004,5B,
1004,6E,
1004,7E,
1005-09,A5,
1005-09,B100,
1005-09,B2,
1005-09,D1,
1005-09,D4,
1005-09,E4,
1005-09,F1,
1005-09,F2,
1005-10,B1,
1005-10,B5,
1005-10,C2,
1005-10,D3,
1005-10,F1,
1005-10,F4,
1005-10,F5,
1006,1A,
1006,1B,
1006,1C,
1006,1D,
1006,1E,
1006,1F,
1006,1G,
1006,1M,
1006,2A,
1006,2B,
1006,2C,
1006,2D,
1006,2F,
1006,2J,
1006,2K,
1006,2L,
1006,2M,
1006,3A,
1006,3B,
1006,3C,
1006,3D,
1006,3E,
1006,3F,
1006,3G,
1006,3H,
1006,3J,
1006,3K,
1006,3L,
1006,3M,
1006,4A,
1006,4B,
1006,4C,
1006,4D,
1006,4E,
1006,4F,
1006,4H,
1006,4J,
1006,4K,
1006,4L,
1006,4M,
1006,5A,
1006,5C,
1006,5D,
1006,5E,
1006,5F,
1006,5G,
1006,5H,
1006,5J,
1006,5K,
1006,5L,
1006,6B,
1006,6C,
1006,6D,
1006,6E,
1006,6F,
1006,6H,
1006,6J,
1006,6K,
1006,6L,
1006,6M,
1006,BSMT,
1007,1BN,
1007,1DN,
1007,1EN,
1007,1ES,
1007,2AN,
1007,2AS,
1007,2BN,
1007,2CN,
1007,2CS,
1007,2DN,
1007,2DS,
1007,2ES,
1007,3AN,
1007,3BN,
1007,3BS,
1007,3CS,
1007,3DN,
1007,3DS,
1007,3EN,
1007,3ES,
1007,4BS,
1007,4CN,
1007,4EN,
1007,4ES,
1007,5BS,
1007,5CN,
1007,5DN,
1007,5DS,
1009,1,
1009,1-A,
1009,2,
1009,21,
1009,22,
1009,23,
1009,24,
1009,25,
1009,3,
1009,31,
1009,33,
1009,34,
1009,35,
1009,4,
1009,42,
1009,44,
1009,45,
1009,5,
1009,51,
1009,52,
1009,53,
1009,54,
1009,55,
1009,WI-STD,
1010,1,
1010,2,
1010,21,
1010,22,
1010,23,
1010,24,
1010,31,
1010,32,
1010,33,
1010,34,
1010,4,
1010,41,
1010,42,
1010,43,
1010,44,
1010,51,
1010,52,
1010,53,
1010,54,
1011,1,
1011,2,
1011,21,
1011,22,
1011,23,
1011,25,
1011,3,
1011,31,
1011,32,
1011,33,
1011,34,
1011,35,
1011,4,
1011,41,
1011,42,
1011,43,
1011,45,
1011,51,
1011,52,
1011,53,
1011,54,
1011,55,
1012,1C,
1012,2E,
1012,4C,
1012,5B,
1012,5C,
1012,5E,
1013,1C,
1013,1D,
1013,1E,
1013,1F,
1013,1G,
1013,1H,
1013,2A,
1013,2B,
1013,2C,
1013,2E,
1013,2F,
1013,2G,
1013,2H,
1013,3A,
1013,3B,
1013,3D,
1013,3E,
1013,3G,
1013,3H,
1013,4C,
1013,4F,
1013,4H,
1013,598,
1013,5A,
1013,5B,
1013,5D,
1013,5F,
1013,5G,
1013,6A,
1013,6B,
1013,6C,
1013,6E,
1013,6H,
1013,BSMT,
1014,1M,
1014,3G,
1014,5G,
1015,1C,
1015,1D,
1015,2A,
1015,2B,
1015,2D,
1015,2E,
1015,3B,
1015,3C,
1015,3D,
1015,3E,
1015,4A,
1015,4B,
1015,4D,
1015,4E,
1015,5A,
1015,5B,
1015,5C,
1015,5D,
1015,5E,
1015,B3,
1015,B4,
1015,B5,
1016,1A,
1016,2A,
1016,2B,
1016,2C,
1016,2E,
1016,2F,
1016,2G,
1016,2H,
1016,2I,
1016,2J,
1016,2K,
1016,2L,
1016,3A,
1016,3B,
1016,3C,
1016,3D,
1016,3E,
1016,3F,
1016,3G,
1016,3H,
1016,3I,
1016,3J,
1016,3K,
1016,3L,
1016,4A,
1016,4B,
1016,4C,
1016,4D,
1016,4E,
1016,4F,
1016,4G,
1016,4H,
1016,4I,
1016,4J,
1016,4K,
1016,4L,
1016,5A,
1016,5B,
1016,5C,
1016,5D,
1016,5E,
1016,5F,
1016,5G,
1016,5H,
1016,5J,
1016,5K,
1016,5L,
1016,I3,
1018,1,
1018,10,
1018,11,
1018,12,
1018,13,
1018,14,
1018,15,
1018,16,
1018,17,
1018,18,
1018,19,
1018,2,
1018,20,
1018,21,
1018,22,
1018,4,
1018,5,
1018,6,
1018,7,
1018,8,
1018,9,
1018,BSMT,
1019,1,
1019,11,
1019,12,
1019,13,
1019,15,
1019,16,
1019,17,
1019,18,
1019,2,
1019,20,
1019,22,
1019,8,
1019,9,
1019,BSMT,
1021,1,
1021,10,
1021,12,
1021,14,
1021,15,
1021,16,
1021,17,
1021,18,
1021,19,
1021,2,
1021,20,
1021,21,
1021,22,
1021,23,
1021,25,
1021,26,
1021,27,
1021,3,
1021,4,
1021,5,
1021,6,
1021,7,
1021,8,
1021,9,
1021,BSMT,
1022,101,
1022,102,
1022,201,
1022,202,
1022,203,
1022,204,
1022,205,
1022,206,
1022,207,
1022,301,
1022,302,
1022,303,
1022,304,
1022,305,
1022,306,
1022,307,
1022,401,
1022,403,
1022,404,
1022,405,
1022,406,
1022,407,
1022,501,
1022,502,
1022,503,
1022,504,
1022,505,
1022,506,
1022,507,
1022,601,
1022,602,
1022,603,
1022,604,
1022,605,
1022,606,
1022,607,
1022,BSMT,
1023,101,
1023,102,
1023,104,
1023,201,
1023,202,
1023,203,
1023,204,
1023,205,
1023,206,
1023,207,
1023,302,
1023,304,
1023,305,
1023,306,
1023,307,
1023,401,
1023,403,
1023,404,
1023,405,
1023,406,
1023,407,
1023,502,
1023,503,
1023,504,
1023,505,
1023,506,
1023,507,
1023,602,
1023,603,
1023,604,
1023,605,
1023,606,
1023,607,
1023,BSMT,
1025,1,
1025,1S,
1025,2N,
1025,2S,
1025,3S,
1026,1A,
1026,1B,
1026,1C,
1026,2B,
1026,2C,
1026,2D,
1026,3A,
1026,3B,
1026,3C,
1026,3D,
1026,4A,
1026,4B,
1026,4C,
1026,A,
1026,BSMT,
1027,1A,
1027,1B,
1027,1D,
1027,2A,
1027,2B,
1027,2C,
1027,2D,
1027,3A,
1027,3B,
1027,3C,
1027,3D,
1027,4B,
1027,4C,
1027,A,
1027,B,
1027,C,
1027,D,
1028,BSMT,
1029,1E,
1029,1W,
1029,2E,
1029,2W,
1029,3E,
1029,3W,
1029,4E,
1029,4W,
1029,5E,
1029,5W,
1030-64,1B,
1030-64,1E,
1030-64,3C,
1030-64,4B,
1030-64,4E,
1030-68,1A,
1030-68,1B,
1030-68,1C,
1030-68,1D,
1030-68,2A,
1030-68,2B,
1030-68,2C,
1030-68,2D,
1030-68,3A,
1030-68,3B,
1030-68,3C,
1030-68,3D,
1030-68,4A,
1030-68,4B,
1030-68,4C,
1030-68,4D,
1030-68,5A,
1030-68,5B,
1030-68,5C,
1030-68,5D,
1030-68,6A,
1030-68,6B,
1030-68,6C,
1030-68,6D,
1031,1A,
1031,1C,
1031,1D,
1031,1F,
1031,1J,
1031,1K,
1031,1M,
1031,2A,
1031,2B,
1031,2C,
1031,2E,
1031,2F,
1031,2G,
1031,2H,
1031,2J,
1031,2K,
1031,2L,
1031,2M,
1031,3A,
1031,3B,
1031,3D,
1031,3E,
1031,3F,
1031,3G,
1031,3H,
1031,3K,
1031,3L,
1031,3M,
1031,4A,
1031,4B,
1031,4C,
1031,4D,
1031,4E,
1031,4F,
1031,4G,
1031,4H,
1031,4J,
1031,4L,
1031,4M,
1031,5A,
1031,5C,
1031,5D,
1031,5F,
1031,5G,
1031,5J,
1031,5K,
1031,5L,
1031,5M,
1031,6A,
1031,6B,
1031,6C,
1031,6D,
1031,6E,
1031,6F,
1031,6G,
1031,6H,
1031,6J,
1031,6K,
1031,6L,
1031,6M,
1031,7C,
1037,2A,
1037,2B,
1037,2D,
1037,3B,
1037,3C,
1037,3D,
1037,4A,
1037,4B,
1037,4D,
1037,5A,
1037,5C,
1037,5D,
1038,2F,
1038,4R,
1039,2F,
1039,3R,
1039,4F,
1039,4R,
1040,1A,
1040,1B,
1040,1C,
1040,1D,
1040,1E,
1040,1F,
1040,1G,
1040,2B,
1040,2D,
1040,2E,
1040,2F,
1040,2G,
1040,3A,
1040,3B,
1040,3C,
1040,3D,
1040,3E,
1040,3F,
1040,3G,
1040,4A,
1040,4B,
1040,4C,
1040,4D,
1040,4E,
1040,4F,
1040,4G,
1040,5A,
1040,5C,
1040,5D,
1040,5E,
1040,5F,
1040,5G,
1040,6A,
1040,6B,
1040,6C,
1040,6E,
1040,6F,
1041,1A,
1041,1B,
1041,1C,
1041,1D,
1041,1E,
1041,1F,
1041,1G,
1041,1H,
1041,2A,
1041,2B,
1041,2C,
1041,2D,
1041,2E,
1041,2F,
1041,2G,
1041,2H,
1041,3A,
1041,3B,
1041,3C,
1041,3D,
1041,3E,
1041,3F,
1041,3G,
1041,3H,
1041,4A,
1041,4B,
1041,4C,
1041,4E,
1041,4G,
1041,4H,
1041,5A,
1041,5B,
1041,5C,
1041,5D,
1041,5E,
1041,5F,
1041,5H,
1041,6A,
1041,6B,
1041,6C,
1041,6D,
1041,6E,
1041,6F,
1041,6G,
1041,6H,
1041,WIA,
1041,WIB,
1042,1A,
1042,1B,
1042,1C,
1042,1D,
1042,1E,
1042,1F,
1042,1G,
1042,1H,
1042,1I,
1042,1J,
1042,1K,
1042,1L,
1042,1M,
1042,2A,
1042,2B,
1042,2C,
1042,2D,
1042,2E,
1042,2F,
1042,2G,
1042,2H,
1042,2I,
1042,2J,
1042,2K,
1042,2L,
1042,2M,
1042,3A,
1042,3B,
1042,3C,
1042,3D,
1042,3E,
1042,3F,
1042,3G,
1042,3H,
1042,3I,
1042,3J,
1042,3K,
1042,3L,
1042,3M,
1042,4A,
1042,4B,
1042,4C,
1042,4D,
1042,4E,
1042,4F,
1042,4G,
1042,4H,
1042,4I,
1042,4J,
1042,4K,
1042,4L,
1042,4M,
1042,5A,
1042,5B,
1042,5C,
1042,5D,
1042,5E,
1042,5F,
1042,5G,
1042,5H,
1042,5I,
1042,5J,
1042,5K,
1042,5L,
1042,5M,
1042,6A,
1042,6B,
1042,6C,
1042,6D,
1042,6E,
1042,6F,
1042,6G,
1042,6H,
1042,6I,
1042,6J,
1042,6K,
1042,6L,
1042,6M,
1043,A1,
1043,A2,
1043,A3,
1043,A4,
1043,A5,
1043,A6,
1043,B2,
1043,B3,
1043,B4,
1043,B5,
1043,B6,
1043,C1,
1043,C2,
1043,C3,
1043,C4,
1043,C5,
1043,C6,
1043,D2,
1043,D5,
1043,D6,
1043,E1,
1043,E2,
1043,E3,
1043,E4,
1043,E5,
1043,E6,
1043,F1,
